course,shift,modality,min,max
ADMINISTRAÇÃO,Matutino,1.1,"556,76","561,02"
ADMINISTRAÇÃO,Matutino,1.2,"607,82","714,06"
ADMINISTRAÇÃO,Matutino,2.1,"470,00","610,10"
ADMINISTRAÇÃO,Matutino,2.2,"641,98","694,48"
ADMINISTRAÇÃO,Matutino,3.1,"526,64","649,92"
ADMINISTRAÇÃO,Matutino,3.2,"604,52","695,90"
ADMINISTRAÇÃO,Matutino,4.1,"595,02","595,02"
ADMINISTRAÇÃO,Matutino,4.2,"649,10","712,04"
ADMINISTRAÇÃO,Matutino,x,"707,58","775,66"
ADMINISTRAÇÃO,Noturno,1.1,"409,40","585,14"
ADMINISTRAÇÃO,Noturno,1.2,"650,68","672,48"
ADMINISTRAÇÃO,Noturno,2.1,"565,84","629,28"
ADMINISTRAÇÃO,Noturno,2.2,"665,82","700,98"
ADMINISTRAÇÃO,Noturno,3.1,"571,54","581,02"
ADMINISTRAÇÃO,Noturno,3.2,"688,20","703,42"
ADMINISTRAÇÃO,Noturno,4.1,"558,04","588,56"
ADMINISTRAÇÃO,Noturno,4.2,"688,82","722,68"
ADMINISTRAÇÃO,Noturno,x,"701,40","761,32"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.1,"555,68","555,68"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.2,"602,70","657,46"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.1,"587,44","587,44"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.2,"600,86","665,26"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.1,"543,50","564,48"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.2,"594,72","667,70"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.1,"562,34","562,34"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.2,"603,74","688,40"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,x,"608,70","716,84"
AGRONOMIA,Matutino,1.1,"534,86","586,14"
AGRONOMIA,Matutino,1.2,"598,84","645,86"
